Mods count: 180
 
jar name                                                        | mod id (isMCreator)           | mixin configs
universal.jar (modloader)                                       | forge                         | 
!!!CrashAssistant-forge-1.12.2-1.11.3.jar                       | crash_assistant               | 
    /META-INF/jarjar/app.jar                                    |                               | 
!configanytime-3.0.jar                                          | configanytime                 | 
!improved-relauncher-0.3.8.jar                                  | improved-relauncher           | 
!mixinbooter-10.7.jar                                           | mixinbooter                   | mixin.mixinbooter.init.json, mixins.mixinbooter.refmap.json
!mod-director-launchwrapper-1.9.1.jar                           |                               | 
!Red-Core-MC-1.8-1.12-0.7.1.jar                                 | redcore                       | 
+Fugue-0.23.3.jar                                               | fugue                         | fugue.mixin.mod.json, fugue.mixin.mod-refmap.json
[MC-1.12.2] Key Binding Patch v1.3.3.3 - 2024-12-1.jar          | key_binding_patch             | mixins.kbp.refmap.json, mixins.kbp.json
`FermiumBooter-1.4.1.jar                                        | fermiumbooter                 | mixins.fermiumbooter.crashreport.json, mixins.fermiumbooter.refmap.json, mixins.fermiumbooter.init.json
ActuallyAdditions-1.12.2-r152.jar                               | actuallyadditions             | 
ae2-uel-v0.56.7.jar                                             | appliedenergistics2           | 
ae2stuff-1.12.2-0.10.jar                                        | ae2stuff                      | 
aether-1.12.2-v1.5.4.1.jar                                      | aether_legacy                 | 
Alfheim-1.6.jar                                                 | alfheim                       | mixins.alfheim.refmap.json, mixins.alfheim.json
anothertips-1.0.5.jar                                           | anothertips                   | mixins.anothertips.early.json, mixins.anothertips.refmap.json
AppleCore-mc1.12.2-3.4.0.jar                                    |                               | 
AquaAcrobatics-1.15.4.jar                                       | aquaacrobatics                | META-INF/mixins.aquaacrobatics.thaumcraft.json, META-INF/mixins.aquaacrobatics.json, META-INF/mixins.aquaacrobatics.journeymap55.json, META-INF/mixins.aquaacrobatics.galacticraft.json, META-INF/mixins.aquaacrobatics.journeymap57.json, META-INF/mixins.aquaacrobatics.xaerosminimap.json, mixins.aquaacrobatics.refmap.json
astralsorcery-1.12.2-1.10.27.jar                                | astralsorcery                 | 
athenaeum-1.12.2-1.19.6.jar                                     | athenaeum                     | 
Atlas-Lib-1.12.2-1.1.9.jar                                      | atlaslib                      | 
AutoRegLib-1.3-32.jar                                           | autoreglib                    | 
badwithernocookiereloaded-1.12.2-3.4.18.jar                     | badwithernocookiereloaded     | 
base-1.12.2-3.14.0.jar                                          | base                          | 
bdlib-1.14.4.1-mc1.12.2.jar                                     | bdlib                         | 
beautifiedchatclient_1.12.2-1.0.jar                             | beautifiedchatclient          | 
BetterAdvancements-1.12.2-0.1.0.77.jar                          | betteradvancements            | 
betterbiomeblend-1.2.0-1.12.2.jar                               | betterbiomeblend              | mixins.betterbiomeblend.json, mixins.betterbiomeblend.refmap.json
betterchat-1.4.jar                                              | betterchat                    | 
betterhorses-1.5.jar                                            | betterhorses                  | mixins.betterhorses.refmap.json, mixins.mods.betterhorses.json
betterinvisibility-1.12.2-1.0.5.jar                             | betterinvisibility            | 
BetterWaterSplash-1.0.jar                                       | BetterWaterSplash             | 
bogosorter-1.6.2.jar                                            | bogosorter                    | mixin.bogosorter.ironchest.json, mixin.bogosorter.galacticraftcore.json, mixin.bogosorter.simplybackpacks.json, mixin.bogosorter.thermalexpansion.json, mixin.bogosorter.avaritiaddons.json, mixin.bogosorter.enderio.json, mixin.bogosorter.quark.json, mixin.bogosorter.json, mixin.bogosorter.colossalchests.json, mixin.bogosorter.hbm.json, mixins.bogosorter.refmap.json, mixin.bogosorter.improvedbackpacks.json, mixin.bogosorter.rftools.json, mixin.bogosorter.galacticraftplanets.json, mixin.bogosorter.charset.json, mixin.bogosorter.gregtechceu.json
Bookshelf-1.12.2-2.3.590.jar                                    | bookshelf                     | 
botania-r1.10-372.jar                                           | botania                       | 
BrandonsCore-1.12.2-2.4.20.162-universal.jar                    | brandonscore                  | 
brigo_forge-1.1.1+1.12.x.jar                                    | brigo                         | brigo.mixins.json
Bubbles-2.4.10.jar                                              | baubles                       | 
celeritas-forge-mc12.2-2.4.0-dev.jar                            | celeritas                     | mixins.celeritas.json
ChatFlow-1.4-7.jar                                              | chatflow                      | 
cherishedworlds-1.12.2-1.0.1.jar                                | cherishedworlds               | 
ChunkAnimator-1.12.2-1.2.1.jar                                  | chunkanimator                 | 
ClientTweaks_1.12.2-3.1.11.jar                                  | clienttweaks                  | 
CodeChickenLib-1.12.2-3.2.3.358-universal.jar                   | codechickenlib                | 
CoFHCore-1.12.2-4.6.6.1-universal.jar                           | cofhcore                      | 
CoFHWorld-1.12.2-1.4.0.1-universal.jar                          | cofhworld                     | 
collective-1.12.2-3.0.jar                                       | collective                    | 
ContentTweaker-1.12.2-4.10.0.jar                                | contenttweaker                | 
copypaste-1.1.jar                                               | copypaste                     | 
corpsecomplex-1.12.2-1.0.12.0.jar                               | corpsecomplex                 | 
CraftTweaker2-1.12-4.1.20.711.jar                               | crafttweaker                  | 
CTM-MC1.12.2-1.0.2.31.jar                                       | ctm                           | 
Cucumber-1.12.2-1.1.3.jar                                       | cucumber                      | 
DefaultOptions_1.12.2-9.2.8.jar                                 | defaultoptions                | 
Dimensional Doors-3.2.3.jar                                     | dimdoors                      | 
discordrpc-1.3.3-1.12.jar                                       | discordrpc                    | 
Draconic-Evolution-1.12.2-2.3.28.354-universal.jar              | draconicevolution             | 
dropt-1.12.2-1.19.4.jar                                         | dropt                         | 
eguilib-0.1.2.jar                                               | eguilib                       | 
elegant-networking-1.12-3.16.jar                                | elegant_networking            | 
EnchantmentDescriptions-1.12.2-1.1.20.jar                       | enchdesc                      | 
EnderCore-1.12.2-0.5.78.jar                                     | endercore                     | 
    /META-INF/libraries/EnderCore-1.12.2-0.5.78-core.jar        |                               | 
enderio-1.12.2-5.4.2-all.jar                                    | enderio                       | 
endermodpacktweaks-0.5.11.jar                                   | endermodpacktweaks            | mixins/mixins.emt.minecraft.window.json, mixins/mixins.emt.minecraft.client.json, mixins/mixins.emt.minecraft.obsidianspike.json, mixins/mixins.emt.reskillable.json, mixins/mixins.emt.cases.json, mixins/mixins.emt.fancymenu.json, mixins/mixins.emt.delivery.json, mixins/mixins.emt.noctrl.json, mixins/mixins.emt.fluxnetworks.json, mixins/mixins.emt.redstonerepository.json, mixins/mixins.emt.morph.json, mixins/mixins.emt.minecraft.endgateway.json, mixins/mixins.emt.perfectspawn.json, mixins/mixins.emt.storagenetwork.json, mixins/mixins.emt.modularmaterials.json, mixins/mixins.emt.itemstages.json, mixins/mixins.emt.minecraft.credits.json, mixins/mixins.emt.astralsorcery.json, mixins/mixins.emt.arcaneworld.json, mixins/mixins.emt.itemphysic.json, mixins/mixins.emt.enderstorage.json, mixins/mixins.emt.scalinghealth.json, mixins/mixins.emt.minecraft.bossbar.json, mixins/mixins.emt.minecraft.bossproof.json, mixins/mixins.emt.recipestages.json, mixins/mixins.emt.bpopener.json, mixins/mixins.emt.pyrotech.json, mixins/mixins.emt.waila.json, mixins/mixins.emt.weepingangels.json, mixins/mixins.emt.minecraft.endisland.json, mixins/mixins.emt.beneath.json, mixins/mixins.emt.minecraft.endpodium.json, mixins/mixins.emt.taoism.json, mixins/mixins.emt.minecraft.golem.json, mixins/mixins.emt.simpledifficulty.json, mixins/mixins.emt.mysticallib.json, mixins/mixins.emt.rustic.json, mixins/mixins.emt.toolprogression.json, mixins/mixins.emt.pickletweaks.json, mixins/mixins.emt.betterwitheverything.json, mixins/mixins.emt.darkutils.json, mixins/mixins.emt.custommainmenu.json, mixins/mixins.emt.minecraft.netherportal.json, mixins/mixins.emt.betterend.json, mixins/mixins.emt.dshuds.json, mixins/mixins.emt.matteroverdrive.json, mixins.endermodpacktweaks.refmap.json, mixins/mixins.emt.elenaidodge.json, mixins/mixins.emt.firstaid.json, mixins/mixins.emt.quark.json, mixins/mixins.emt.crissaegrim.json, mixins/mixins.emt.potioncore.json, mixins/mixins.emt.minecraftforge.json, mixins/mixins.emt.defaultworldgenerator.json, mixins/mixins.emt.minecraft.dragonfightmanager.json, mixins/mixins.emt.lbm.json, mixins/mixins.emt.mbtool.json, mixins/mixins.emt.minecraft.wither.json
EntityCulling-1.12.2-6.5.0.jar                                  | entityculling                 | mixins.entityculling.json, mixins.entityculling.refmap.json
environmentaltech-1.12.2-2.0.20.1.jar                           | environmentaltech             | 
esm-legacy-1.12.2-1.0.5.jar                                     | extremesoundmuffler           | mixins.extremesoundmuffler.refmap.json, mixins.extremesoundmuffler.json
extendedbonemeal_1.12.2-1.3.jar                                 | extendedbonemeal              | 
extendedcrafting-nomifactory-edition-1.7.0.7.jar                | extendedcrafting              | 
ExtraSounds-1.12.2-1.4.1.jar                                    | extrasounds                   | extrasounds.server.mixins.json, extrasounds.client.mixins.json, extrasounds.jei.mixins.json, extrasounds.tfc.mixins.json
extrautils2-1.12-1.9.9.jar                                      | extrautils2                   | 
exutilfix-1.0.0.jar                                             | extrautils_fixes              | 
fermiumasm-5.31.jar                                             | normalasm                     | mixins.normalasm.refmap.json, mixins.modfixes_astralsorcery.json, mixins.recipes.json, mixins.resolve_mc2071.json, mixins.internal.json, mixins.singletonevents.json, mixins.bakedquadsquasher.json, mixins.fix_mc_skindownloading.json, mixins.misc_fluidregistry.json, mixins.forgefixes.json, mixins.crashes.json, mixins.fix_mc129057.json, mixins.modfixes_xu2.json, mixins.modfixes_ebwizardry.json, mixins.modfixes_immersiveengineering.json, mixins.rendering.json, mixins.ondemand_sprites.json, mixins.efficienthashing.json, mixins.stripitemstack.json, mixins.lockcode.json, mixins.modfixes_evilcraftcompat.json, mixins.searchtree_mod.json, mixins.datastructures_modelmanager.json, mixins.modfixes_crafttweaker.json, mixins.vanities.json, mixins.modfixes_railcraft.json, mixins.fix_mc186052.json, mixins.vfix_bugfixes.json, mixins.modfixes_disable_broken_particles.json, mixins.capability.json, mixins.registries.json, mixins.screenshot.json, mixins.devenv.json, mixins.modfixes_b3m.json, mixins.capability_astralsorcery.json, mixins.searchtree_vanilla.json, mixins.fix_mc129556.json, mixins.bucket.json, mixins.priorities.json
